場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260826,栗東,水,ピューロマジック,Ｘ,牝,5,安田翔伍,53.3,38.8,25.6,12.8,14.5,13.2,12.8,12.8,
栗東,20260830,栗東,日,ピューロマジック,Ｘ,牝,5,安田翔伍,55.2,40.1,26.0,13.0,15.1,14.1,13.0,13.0,
美浦,20260830,美浦,日,ファインサマーデイ,Ｃ,牡,3,高柳瑞樹,53.9,38.8,24.9,12.1,15.1,13.9,12.8,12.1,
栗東,20260902,栗東,水,ファニーバニー,,牝,3,杉山佳明,57.1,41.2,26.9,12.8,15.9,14.3,14.1,12.8,
美浦,20260829,美浦,土,ファブリック,,牡,2,武井亮,55.0,39.9,25.8,12.5,15.1,14.1,13.3,12.5,
栗東,20260826,栗東,水,フェスティヴドレス,,牝,3,岡田稲男,53.5,39.1,25.5,13.1,14.4,13.6,12.4,13.1,
栗東,20260902,栗東,水,フェスティヴドレス,,牝,3,岡田稲男,53.2,39.1,25.7,13.1,14.1,13.4,12.6,13.1,
栗東,20260830,栗東,日,フェルシナ,,牝,4,西園翔太,56.9,42.0,27.1,13.1,14.9,14.9,14.0,13.1,
栗東,20260902,栗東,水,フェルシナ,,牝,4,西園翔太,54.7,39.7,25.6,12.9,15.0,14.1,12.7,12.9,
栗東,20260828,栗東,金,フェンダー,,牡,5,柴田卓,53.6,38.8,25.4,12.7,14.8,13.4,12.7,12.7,
栗東,20260902,栗東,水,フェンダー,,牡,5,柴田卓,53.5,39.2,25.5,12.8,14.3,13.7,12.7,12.8,
栗東,20260827,栗東,木,フォーシーファイン,,牡,3,斉藤崇史,56.0,39.3,25.0,12.3,16.7,14.3,12.7,12.3,
栗東,20260830,栗東,日,フォーシーファイン,,牡,3,斉藤崇史,58.4,41.1,26.4,12.8,17.3,14.7,13.6,12.8,
栗東,20260902,栗東,水,フォーシーファイン,,牡,3,斉藤崇史,54.7,39.3,25.1,12.4,15.4,14.2,12.7,12.4,
栗東,20260827,栗東,木,プチプランス,,牡,4,藤岡健一,55.2,40.2,25.8,12.9,15.0,14.4,12.9,12.9,
栗東,20260830,栗東,日,ブラックレジェンド,,牡,3,寺島良,55.2,40.9,26.9,13.3,14.3,14.0,13.6,13.3,
