阪7,ダ,1400,4, ナムラロダン,(栗),長谷川浩,田山旺佑,5,,2,5,49,3,47,8,118,3,260,1,,ミッキーアイル
中12,ダ,1800,3, ナリノシャーウッド,(美),小笠倫弘,菊沢一樹,3,,3,1,20,8,27,12,109,4,156,6,,マインドユアビスケッツ
中1,ダ,1800,12, ニシノマキロイ,(美),田中勝春,野中悠太,9,,3,2,22,6,43,6,45,10,108,8,,ニューイヤーズデイ
阪9,芝,1400,7, ネッタイヤライ,(栗),矢作芳人,北村友一,12,,2,5,51,3,56,6,49,12,93,10,,コントレイル
中6,ダ,1200,12, ノーブルパラス,(美),上原博之,佐藤翔馬,4,,4,3,21,8,20,8,66,2,161,2,,ルーラーシップ
阪10,ダ,1800,11, ノーランサンライズ,(栗),佐藤悠太,浜中俊,10,,3,3,21,13,21,13,67,11,51,15,,キタサンブラック
阪8,芝,1800,3, バークシャーシチー,(栗),牧田和弥,松若風馬,7,,2,8,44,4,42,10,60,14,136,10,,モズアスコット
中8,芝,2500,6, パーリーブラック,(美),伊坂重信,菊沢一樹,12,,1,12,12,12,20,11,98,8,157,9,,キタサンブラック
中1,ダ,1800,3, ハイトラクション,(美),中舘英二,長浜鴻緒,6,Ｃ,2,4,22,6,43,6,72,3,93,10,,フォーウィールドライブ
中11,ダ,1200,7, バグラダス,(美),嘉藤貴行,小崎綾也,14,,6,2,10,15,41,9,44,16,31,16,,マジェスティックウォリアー
阪10,ダ,1800,5, パシアンジャン,(栗),鈴木孝志,松山弘平,3,,2,4,60,1,71,1,89,4,164,2,,シニスターミニスター
中1,ダ,1800,5, ハチキンキリシマ,(美),蛯名利弘,遠藤汰月,10,,1,12,11,12,29,10,52,9,87,11,,アメリカンペイトリオット
阪4,芝,1800,8, バックドラフト,(栗),友道康夫,岩田望来,7,,2,4,50,4,37,11,115,3,150,11,,キタサンブラック
阪1,ダ,2970,8, バトラーズワーフ,(美),浅利英明,坂口智康,4,,4,1,22,6,20,7,48,8,136,5,,ブリックスアンドモルタル
阪7,ダ,1400,16, ハピネスサンライズ,(栗),東田明士,松山弘平,9,,3,2,31,8,56,4,127,1,236,5,,ダノンスマッシュ
阪2,芝,2000,2, ハルカカナタ,(栗),秋山真一,幸英明,2,,2,4,35,5,62,3,78,3,183,3,,ドレフォン
阪6,ダ,1800,8,$パルパル,(栗),小栗実,吉村誠之,6,,2,4,29,4,31,4,50,5,152,4,,"Golden Pal"
阪7,ダ,1400,11,*バルフルール,(栗),長谷川浩,角田大和,6,,2,5,52,2,53,6,104,5,252,3,,"Saxon Warrior"
中7,ダ,1800,1, パワポケグッド,(美),大和田成,佐藤翔馬,15,,2,5,12,13,37,12,60,16,103,15,,インカンテーション
中3,ダ,1200,8, ハングローズ,(美),奥村武,戸崎圭太,1,,2,6,60,2,58,2,111,5,254,2,,ドレフォン
阪7,ダ,1400,12, ビーアイジーニー,(栗),牧田和弥,岩田康誠,14,,2,5,46,4,28,13,42,16,61,16,,サトノアラジン
阪12,ダ,1200,5, ビーグラッド,(栗),岡田稲男,幸英明,11,,2,9,36,9,32,12,47,14,46,15,,エピファネイア
阪11,芝,2000,5, ピースワンデュック,(美),大竹正博,佐々木大,10,,2,11,39,4,52,8,63,14,96,11,,グレーターロンドン
阪8,芝,1800,10, ピエタンツァ,(栗),松永幹夫,武豊,5,,3,4,30,8,59,7,115,3,196,3,,エピファネイア
