場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260812,栗東,水,ブルーサン,,牡,5,宮地貴稔,51.8,37.9,25.1,12.7,13.9,12.8,12.4,12.7,
栗東,20260816,栗東,日,ブルーサン,,牡,5,宮地貴稔,55.6,40.6,26.6,13.0,15.0,14.0,13.6,13.0,
栗東,20260819,栗東,水,ブルーサン,,牡,5,宮地貴稔,52.5,37.9,25.3,12.7,14.6,12.6,12.6,12.7,
栗東,20260816,栗東,日,ブルーセルリアン,,牡,4,宮徹,56.3,41.8,27.2,13.3,14.5,14.6,13.9,13.3,
栗東,20260812,栗東,水,プルートマスター,,牡,7,今野貞一,53.7,38.5,25.1,12.5,15.2,13.4,12.6,12.5,
栗東,20260816,栗東,日,プルートマスター,,牡,7,今野貞一,56.3,41.0,26.6,13.1,15.3,14.4,13.5,13.1,
栗東,20260819,栗東,水,プルートマスター,,牡,7,今野貞一,54.3,39.0,25.0,12.4,15.3,14.0,12.6,12.4,
栗東,20260812,栗東,水,ブルーミングローズ,,牝,4,高野友和,54.2,39.6,25.6,12.5,14.6,14.0,13.1,12.5,
栗東,20260816,栗東,日,ブルーミングローズ,,牝,4,高野友和,56.8,40.5,26.1,12.7,16.3,14.4,13.4,12.7,
栗東,20260819,栗東,水,ブルーミングローズ,,牝,4,高野友和,54.6,39.4,25.5,12.5,15.2,13.9,13.0,12.5,
栗東,20260819,栗東,水,フルドフォルク,,牡,3,庄野靖志,57.0,40.8,26.8,13.9,16.2,14.0,12.9,13.9,
栗東,20260813,栗東,木,ペアレンツギフト,,牝,3,中内田充,55.3,38.9,24.6,12.0,16.4,14.3,12.6,12.0,
栗東,20260819,栗東,水,ペアレンツギフト,,牝,3,中内田充,52.8,38.2,25.1,12.5,14.6,13.1,12.6,12.5,
栗東,20260812,栗東,水,ペイシャモノノフ,,牡,6,畑端省吾,53.6,39.1,25.4,12.7,14.5,13.7,12.7,12.7,
栗東,20260819,栗東,水,ペイシャモノノフ,,牡,6,畑端省吾,56.3,40.8,26.3,12.9,15.5,14.5,13.4,12.9,
栗東,20260812,栗東,水,ペールノエル,,セ,4,西村真幸,54.3,39.2,25.5,12.3,15.1,13.7,13.2,12.3,
栗東,20260819,栗東,水,ペールノエル,,セ,4,西村真幸,56.7,41.4,27.4,13.3,15.3,14.0,14.1,13.3,
栗東,20260814,栗東,金,ベニバナ,,牝,2,渡辺薫彦,56.8,41.1,26.0,12.6,15.7,15.1,13.4,12.6,
栗東,20260819,栗東,水,ベニバナ,,牝,2,渡辺薫彦,54.9,39.8,25.4,12.2,15.1,14.4,13.2,12.2,
